Categoría: Todas las categorías

Día,Macron: (Francia),Le Pen: (Francia),Mélenchon: (Francia)
2022-03-15,26,4,3
2022-03-16,19,9,2
2022-03-17,39,16,2
2022-03-18,32,7,2
2022-03-19,19,7,3
2022-03-20,18,5,9
2022-03-21,17,4,4
2022-03-22,16,7,3
2022-03-23,18,8,4
2022-03-24,18,8,4
2022-03-25,17,7,3
2022-03-26,16,7,3
2022-03-27,19,16,6
2022-03-28,20,6,3
2022-03-29,23,5,3
2022-03-30,21,6,3
2022-03-31,22,10,5
2022-04-01,20,10,4
2022-04-02,45,8,5
2022-04-03,30,10,7
2022-04-04,23,11,7
2022-04-05,22,11,9
2022-04-06,26,15,8
2022-04-07,25,15,9
2022-04-08,27,19,11
2022-04-09,31,21,15
2022-04-10,100,94,66
2022-04-11,70,66,31
2022-04-12,54,47,9
2022-04-13,0,0,0
